Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2010,381,1,36,"H3","0603",8,3000,3000,27661,0
2010,381,2,36,"H3","060290",8,176,176,5771,0
2010,381,1,36,"H3","060290",8,107095,107095,191737,0
2010,381,2,36,"H3","06",1,,,9431,0
2010,381,1,36,"H3","06",1,,,261934,0
2010,381,1,36,"H3","0504",8,32002,32002,391777,0
2010,381,2,36,"H3","05",1,,,340505,0
2010,381,1,36,"H3","05",1,,,886624,0
2010,381,2,36,"H3","040900",8,12135,12135,58469,0
2010,381,1,36,"H3","040900",8,40800,40800,138359,0
2010,381,2,36,"H3","040690",8,2651538,2651538,26473102,0
2010,381,2,36,"H3","040630",8,6195,6195,98351,0
2010,381,2,36,"H3","0405",8,2961,2961,17862,0
2010,381,2,36,"H3","040221",8,49688,49688,287138,0
2010,381,2,36,"H3","0401",8,5832,5832,11116,0
2010,381,2,36,"H3","04",1,,,31767487,0
2010,381,1,36,"H3","04",1,,,138359,0
2010,381,1,36,"H3","030791",8,380,380,31230,0
2010,381,2,36,"H3","030563",8,1469,1469,13286,0
2010,381,2,36,"H3","0305",8,40399,40399,649285,0
2010,381,1,36,"H3","0305",8,179,179,7187,0
2010,381,2,36,"H3","03",1,,,719750,0
2010,381,1,36,"H3","03",1,,,4222977,0
2010,381,2,36,"H3","0210",8,303853,303853,4622919,0
2010,381,1,36,"H3","0210",8,11499,11499,194289,0
2010,381,1,36,"H3","020890",8,2435,2435,8536,0
2010,381,1,36,"H3","0208",8,2435,2435,8536,0
2010,381,1,36,"H3","020422",8,4066,4066,89831,0
2010,381,1,36,"H3","0204",8,19390,19390,276695,0
2010,381,2,36,"H3","020329",8,737,737,12574,0
2010,381,1,36,"H3","020329",8,15000,15000,43740,0
2010,381,1,36,"H3","020321",8,23036,23036,91596,0
2010,381,1,36,"H3","020230",8,233021,233021,1227065,0
2010,381,1,36,"H3","0202",8,233021,233021,1227065,0
2010,381,2,36,"H3","02",1,,,4637417,0
2010,381,1,36,"H3","02",1,,,18634570,0
2010,381,1,36,"H3","010619",1,,160,5967,0
2010,381,1,36,"H3","0106",1,,160,5967,0
2010,381,2,36,"H3","010110",5,1,318,5675,0
2010,381,2,36,"H3","01",1,,,5675,0
2010,381,1,36,"H3","01",1,,,5967,0
2010,381,1,36,"H3","060499",8,4500,4500,42536,0
2010,381,2,36,"H3","0602",1,,204,9431,0
2010,381,1,36,"H3","0602",1,,107095,191737,0
2010,381,2,36,"H3","040130",8,5832,5832,11116,0
2010,381,1,36,"H3","060390",8,3000,3000,27661,0
