Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2004,381,1,36,"H2","07",1,,,4120991,0
2004,381,2,36,"H2","07",1,,,888501,0
2004,381,1,36,"H2","0604",8,12385,12385,52538,0
2004,381,1,36,"H2","0507",8,6570,6570,36728,0
2004,381,2,36,"H2","040620",8,11420,11420,88461,0
2004,381,2,36,"H2","040510",8,1337,1337,8915,0
2004,381,1,36,"H2","030799",8,14420,14420,41252,0
2004,381,1,36,"H2","030629",8,100,100,3236,0
2004,381,2,36,"H2","030569",8,1817,1817,16241,0
2004,381,2,36,"H2","030563",8,32009,32009,207148,0
2004,381,2,36,"H2","030530",8,895,895,6562,0
2004,381,2,36,"H2","030520",8,38,38,2349,0
2004,381,2,36,"H2","030510",8,5770,5770,95652,0
2004,381,1,36,"H2","030510",8,122,122,15656,0
2004,381,2,36,"H2","030410",8,351,351,4285,0
2004,381,2,36,"H2","0304",8,351,351,4285,0
2004,381,1,36,"H2","0303",8,56370,56370,298141,0
2004,381,1,36,"H2","0302",8,72353,72353,826928,0
2004,381,2,36,"H2","0301",8,12085,12085,50876,0
2004,381,2,36,"H2","03",1,,,383113,0
2004,381,1,36,"H2","03",1,,,1605464,0
2004,381,1,36,"H2","0208",8,103350,103350,421722,0
2004,381,2,36,"H2","0203",8,183,183,1354,0
2004,381,2,36,"H2","02",1,,,1354,0
2004,381,1,36,"H2","02",1,,,759758,0
2004,381,2,36,"H2","010690",1,,211,12555,0
2004,381,1,36,"H2","010690",1,,5,2060,0
2004,381,1,36,"H2","010190",5,1,500,1913,0
2004,381,2,36,"H2","01",1,,,12555,0
2004,381,1,36,"H2","01",1,,,3973,0
2004,381,1,36,"H2","0307",8,31420,31420,57621,0
2004,381,1,36,"H2","030619",8,45,45,1391,0
2004,381,2,36,"H2","030199",8,12085,12085,50876,0
2004,381,1,36,"H2","020422",8,5939,5939,128325,0
2004,381,1,36,"H2","020442",8,50640,50640,209712,0
2004,381,1,36,"H2","060390",8,34830,34830,135299,0
2004,381,1,36,"H2","051191",8,4,4,5597,0
2004,381,2,36,"H2","051110",1,,23,280695,0
2004,381,1,36,"H2","051110",1,,4,4719,0
2004,381,1,36,"H2","051000",8,121149,121149,1326132,0
2004,381,2,36,"H2","050900",8,29,29,2559,0
2004,381,2,36,"H2","0509",8,29,29,2559,0
2004,381,1,36,"H2","050690",8,2950,2950,2342,0
2004,381,1,36,"H2","0506",8,2950,2950,2342,0
2004,381,2,36,"H2","040690",8,1959249,1959249,15942022,0
2004,381,1,36,"H2","040690",8,22890,22890,52504,0
2004,381,2,36,"H2","040610",8,80380,80380,501900,0
2004,381,2,36,"H2","0405",8,1337,1337,8915,0
2004,381,2,36,"H2","04",1,,,16868175,0
2004,381,1,36,"H2","04",1,,,105216,0
2004,381,1,36,"H2","030749",8,17000,17000,16370,0
2004,381,1,36,"H2","030621",8,11018,11018,368659,0
2004,381,1,36,"H2","0306",8,13058,13058,407118,0
2004,381,1,36,"H2","030269",8,72193,72193,825376,0
2004,381,1,36,"H2","0204",8,56579,56579,338037,0
2004,381,1,36,"H2","030611",8,170,170,16112,0
2004,381,1,36,"H2","0703",8,4411560,4411560,2536721,0
2004,381,1,36,"H2","060499",8,11990,11990,48159,0
2004,381,1,36,"H2","070310",8,4411560,4411560,2536721,0
2004,381,1,36,"H2","060310",8,388,388,4335,0
2004,381,1,36,"H2","0603",8,35218,35218,139634,0
2004,381,1,36,"H2","060290",8,209665,209665,244161,0
2004,381,1,36,"H2","060210",5,13715,40,2845,2
2004,381,2,36,"H2","060120",1,,30,1448,0
2004,381,1,36,"H2","060120",1,,10,866,0
2004,381,2,36,"H2","06",1,,,1448,0
2004,381,1,36,"H2","06",1,,,440043,0
2004,381,2,36,"H2","0511",1,,17615,288863,4
2004,381,1,36,"H2","0511",1,,8,10316,0
2004,381,1,36,"H2","050800",8,77038,77038,688846,0
2004,381,1,36,"H2","050400",8,12269,12269,203393,0
2004,381,2,36,"H2","05",1,,,486346,0
2004,381,1,36,"H2","05",1,,,2267757,0
2004,381,2,36,"H2","040900",8,563,563,4883,0
2004,381,1,36,"H2","040900",8,19952,19952,52712,0
2004,381,2,36,"H2","040630",8,15767,15767,74792,0
2004,381,2,36,"H2","0406",8,2102782,2102782,16854377,0
2004,381,1,36,"H2","0406",8,22890,22890,52504,0
2004,381,1,36,"H2","030614",8,510,510,2157,0
2004,381,2,36,"H2","0305",8,40529,40529,327952,0
2004,381,1,36,"H2","0305",8,122,122,15656,0
2004,381,1,36,"H2","030379",8,56370,56370,298141,0
2004,381,1,36,"H2","030229",8,160,160,1552,0
2004,381,2,36,"H2","0106",1,,211,12555,0
2004,381,1,36,"H2","0106",1,,5,2060,0
2004,381,1,36,"H2","0101",5,1,500,1913,0
2004,381,1,36,"H2","050790",8,6570,6570,36728,0
2004,381,1,36,"H2","060491",8,395,395,4379,0
2004,381,1,36,"H2","0510",8,121149,121149,1326132,0
2004,381,1,36,"H2","080211",8,40000,40000,74690,0
2004,381,1,36,"H2","0508",8,77038,77038,688846,0
2004,381,2,36,"H2","0708",8,38196,38196,25398,0
2004,381,1,36,"H2","080212",8,66000,66000,335672,0
2004,381,2,36,"H2","050100",8,171,171,194923,0
2004,381,2,36,"H2","080240",8,1544,1544,8789,0
2004,381,2,36,"H2","040640",8,35966,35966,247202,0
2004,381,2,36,"H2","070890",8,1000,1000,2894,0
2004,381,2,36,"H2","0709",8,14782,14782,181754,0
2004,381,2,36,"H2","071320",8,17280,17280,12978,0
2004,381,2,36,"H2","070910",8,9664,9664,41021,0
2004,381,1,36,"H2","030613",8,1215,1215,15564,0
2004,381,2,36,"H2","070951",8,2506,2506,24344,0
2004,381,2,36,"H2","070952",8,234,234,71697,0
2004,381,2,36,"H2","070959",8,914,914,36708,0
2004,381,2,36,"H2","071120",8,28263,28263,99667,0
2004,381,1,36,"H2","071333",8,294500,294500,185246,0
2004,381,2,36,"H2","071159",8,706,706,9205,0
2004,381,2,36,"H2","071190",8,178,178,2044,0
2004,381,1,36,"H2","020890",8,103350,103350,421722,0
2004,381,2,36,"H2","071333",8,18240,18240,8975,0
2004,381,2,36,"H2","020319",8,183,183,1354,0
2004,381,2,36,"H2","071232",8,939,939,38778,0
2004,381,2,36,"H2","071239",8,3181,3181,80578,0
2004,381,1,36,"H2","071310",8,56250,56250,16291,0
2004,381,1,36,"H2","071320",8,60850,60850,33969,0
2004,381,2,36,"H2","0601",1,,30,1448,0
2004,381,1,36,"H2","0601",1,,10,866,0
2004,381,2,36,"H2","051199",8,17592,17592,8168,6
2004,381,1,36,"H2","071350",8,2913452,2913452,1091575,0
2004,381,2,36,"H2","0711",8,32277,32277,134281,0
2004,381,1,36,"H2","080610",8,419810,419810,762324,0
2004,381,2,36,"H2","0902",8,2995,2995,24937,0
2004,381,1,36,"H2","0808",8,160,160,1195,0
2004,381,2,36,"H2","071340",8,17280,17280,18314,0
2004,381,1,36,"H2","080910",8,900,900,2735,0
2004,381,1,36,"H2","080920",8,12416,12416,79026,0
2004,381,1,36,"H2","0602",1,,209705,247006,0
2004,381,1,36,"H2","080940",8,4001,4001,4842,0
2004,381,1,36,"H2","0802",8,221038,221038,1600500,0
2004,381,2,36,"H2","0802",8,1544,1544,8789,0
2004,381,2,36,"H2","090190",8,1322,1322,12361,0
2004,381,1,36,"H2","080290",8,114919,114919,1189362,0
2004,381,2,36,"H2","070820",8,37196,37196,22505,0
2004,381,2,36,"H2","070990",8,1464,1464,7984,0
2004,381,2,36,"H2","071029",8,1808,1808,2679,0
2004,381,2,36,"H2","090111",8,833667,833667,7082647,0
2004,381,2,36,"H2","071030",8,630,630,160188,0
2004,381,2,36,"H2","071080",8,1152,1152,5901,0
2004,381,1,36,"H2","090121",8,780,780,6072,0
2004,381,1,36,"H2","071340",8,295610,295610,169256,0
