Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2008,381,2,36,"H3","0410",8,16,16,1828,0
2008,381,2,36,"H3","040900",8,4209,4209,26202,0
2008,381,2,36,"H3","0409",8,4209,4209,26202,0
2008,381,2,36,"H3","0708",8,94506,94506,85724,0
2008,381,1,36,"H3","070310",8,2989380,2989380,2460183,0
2008,381,1,36,"H3","060499",8,6500,6500,36537,0
2008,381,1,36,"H3","0604",8,6500,6500,36537,0
2008,381,1,36,"H3","060390",8,450,450,3633,0
2008,381,1,36,"H3","0603",8,450,450,3633,0
2008,381,1,36,"H3","051000",8,30763,30763,290669,0
2008,381,1,36,"H3","0510",8,30763,30763,290669,0
2008,381,2,36,"H3","050800",8,45,45,9724,0
2008,381,1,36,"H3","050800",8,99523,99523,1363086,0
2008,381,2,36,"H3","0508",8,45,45,9724,0
2008,381,1,36,"H3","0508",8,99523,99523,1363086,0
2008,381,2,36,"H3","050400",8,321,321,3701,0
2008,381,1,36,"H3","050400",8,33910,33910,668762,0
2008,381,2,36,"H3","0504",8,321,321,3701,0
2008,381,1,36,"H3","0504",8,33910,33910,668762,0
2008,381,2,36,"H3","0501",8,342,342,157870,0
2008,381,2,36,"H3","05",1,,,430908,0
2008,381,1,36,"H3","05",1,,,2322517,0
2008,381,2,36,"H3","041000",8,16,16,1828,0
2008,381,2,36,"H3","040690",8,2359394,2359394,24737342,0
2008,381,2,36,"H3","040640",8,55008,55008,649758,0
2008,381,2,36,"H3","040620",8,42286,42286,521075,0
2008,381,2,36,"H3","040590",8,607,607,4510,0
2008,381,2,36,"H3","04",1,,,31036590,0
2008,381,2,36,"H3","030799",8,250,250,12180,0
2008,381,2,36,"H3","030741",8,720,720,7400,0
2008,381,2,36,"H3","0307",8,970,970,19580,0
2008,381,1,36,"H3","030621",8,600,600,30662,0
2008,381,1,36,"H3","030380",8,29610,29610,700929,0
2008,381,1,36,"H3","030229",8,952,952,15198,0
2008,381,1,36,"H3","0302",8,56638,56638,856407,0
2008,381,2,36,"H3","03",1,,,363016,0
2008,381,1,36,"H3","03",1,,,1771747,0
2008,381,2,36,"H3","021099",8,44300,44300,79004,0
2008,381,2,36,"H3","021019",8,110897,110897,2006376,0
2008,381,1,36,"H3","021019",8,2332,2332,39726,0
2008,381,2,36,"H3","0210",8,155197,155197,2085380,0
2008,381,1,36,"H3","0210",8,6088,6088,109219,0
2008,381,1,36,"H3","020422",8,8346,8346,177404,0
2008,381,1,36,"H3","0204",8,8662,8662,185161,0
2008,381,1,36,"H3","020322",8,9954,9954,78622,0
2008,381,1,36,"H3","020321",8,35852,35852,157926,0
2008,381,1,36,"H3","0101",5,1,500,48198,0
2008,381,2,36,"H3","01",1,,,3671,0
2008,381,1,36,"H3","01",1,,,48198,0
2008,381,2,36,"H3","040221",8,279100,279100,321274,0
2008,381,2,36,"H3","0305",8,26375,26375,343436,0
2008,381,1,36,"H3","030269",8,55686,55686,841209,0
2008,381,1,36,"H3","0703",8,2989380,2989380,2460183,0
2008,381,1,36,"H3","060290",8,34355,34355,89547,0
2008,381,2,36,"H3","060110",5,47358,638,7066,6
2008,381,2,36,"H3","0601",1,,638,7066,4
2008,381,2,36,"H3","051110",1,,16,197877,0
2008,381,2,36,"H3","0511",1,,10024,259612,0
2008,381,2,36,"H3","050100",8,342,342,157870,0
2008,381,2,36,"H3","040630",8,32259,32259,320180,0
2008,381,2,36,"H3","040610",8,422819,422819,4152305,0
2008,381,2,36,"H3","0406",8,2911766,2911766,30380660,0
2008,381,2,36,"H3","040510",8,1877,1877,11188,0
2008,381,2,36,"H3","0405",8,2484,2484,15698,0
2008,381,2,36,"H3","040390",8,540,540,3067,0
2008,381,2,36,"H3","0403",8,540,540,3067,0
2008,381,2,36,"H3","040210",8,150000,150000,279473,0
2008,381,2,36,"H3","0402",8,432154,432154,609136,0
2008,381,1,36,"H3","0306",8,600,600,30662,0
2008,381,2,36,"H3","030569",8,480,480,5335,0
2008,381,2,36,"H3","030563",8,17418,17418,219850,0
2008,381,2,36,"H3","030530",8,8442,8442,114623,0
2008,381,1,36,"H3","030379",8,19470,19470,183749,0
2008,381,1,36,"H3","0303",8,49080,49080,884678,0
2008,381,1,36,"H3","021011",8,3756,3756,69493,0
2008,381,1,36,"H3","020890",8,68500,68500,560038,0
2008,381,1,36,"H3","0208",8,68500,68500,560038,0
2008,381,1,36,"H3","020423",8,316,316,7757,0
2008,381,2,36,"H3","020329",8,25000,25000,26428,0
2008,381,1,36,"H3","020329",8,52824,52824,416085,0
2008,381,2,36,"H3","0203",8,27098,27098,69361,0
2008,381,1,36,"H3","0203",8,98630,98630,652632,0
2008,381,1,36,"H3","020230",8,169339,169339,1353580,0
