Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2009,381,2,36,"H3","070951",8,1072,1072,15858,0
2009,381,1,36,"H3","0703",8,2715400,2715400,1870196,0
2009,381,2,36,"H3","0702",8,806,806,1031,0
2009,381,2,36,"H3","07",1,,,1255018,0
2009,381,1,36,"H3","07",1,,,3022736,0
2009,381,1,36,"H3","060390",8,9693,9693,118117,0
2009,381,1,36,"H3","060319",8,650,650,8652,0
2009,381,2,36,"H3","060220",5,5354,77,7393,2
2009,381,2,36,"H3","0602",1,,253,11632,0
2009,381,1,36,"H3","0602",1,,283,16413,0
2009,381,2,36,"H3","051110",1,,6,43390,0
2009,381,1,36,"H3","050800",8,103677,103677,923363,0
2009,381,2,36,"H3","0504",8,167,167,2149,0
2009,381,1,36,"H3","0504",8,35333,35333,495414,0
2009,381,2,36,"H3","050100",8,54,54,36494,0
2009,381,2,36,"H3","0501",8,54,54,36494,0
2009,381,2,36,"H3","0409",8,3617,3617,32357,0
2009,381,1,36,"H3","0409",8,61498,61498,211342,0
2009,381,2,36,"H3","040640",8,99089,99089,974240,0
2009,381,2,36,"H3","040630",8,14649,14649,118802,0
2009,381,2,36,"H3","040620",8,6585,6585,68846,0
2009,381,2,36,"H3","0406",8,3013712,3013712,27601622,0
2009,381,2,36,"H3","040510",8,1380,1380,7413,0
2009,381,2,36,"H3","040410",8,25000,25000,86110,0
2009,381,2,36,"H3","030563",8,19358,19358,204523,0
2009,381,2,36,"H3","030530",8,1701,1701,14389,0
2009,381,2,36,"H3","030520",8,30,30,2946,0
2009,381,2,36,"H3","030510",8,16,16,1425,0
2009,381,2,36,"H3","030429",8,694,694,8126,0
2009,381,1,36,"H3","030380",8,28250,28250,599693,0
2009,381,2,36,"H3","030379",8,416,416,4694,0
2009,381,1,36,"H3","030379",8,17626,17626,138689,0
2009,381,2,36,"H3","03",1,,,238572,0
2009,381,1,36,"H3","03",1,,,3714604,0
2009,381,2,36,"H3","021099",8,60000,60000,108959,0
2009,381,1,36,"H3","020890",8,12401,12401,115961,0
2009,381,1,36,"H3","020422",8,3733,3733,85849,0
2009,381,1,36,"H3","0204",8,17315,17315,271016,0
2009,381,2,36,"H3","0711",8,116106,116106,408585,0
2009,381,2,36,"H3","070959",8,1240,1240,129951,0
2009,381,2,36,"H3","0709",8,45819,45819,299614,0
2009,381,2,36,"H3","070990",8,43507,43507,153805,0
2009,381,2,36,"H3","070200",8,806,806,1031,0
2009,381,1,36,"H3","0710",8,48000,48000,89160,0
2009,381,2,36,"H3","0710",8,19872,19872,174875,0
2009,381,1,36,"H3","060499",8,680,680,30064,0
2009,381,1,36,"H3","0604",8,680,680,30064,0
2009,381,2,36,"H3","071080",8,14742,14742,168083,0
2009,381,1,36,"H3","0603",8,10343,10343,126769,0
2009,381,2,36,"H3","060290",8,176,176,4239,0
2009,381,1,36,"H3","060290",8,258,258,15311,0
2009,381,1,36,"H3","080450",8,21972,21972,147586,0
2009,381,1,36,"H3","060210",5,5541,25,1102,2
2009,381,2,36,"H3","071120",8,69098,69098,251133,0
2009,381,2,36,"H3","071159",8,210,210,2508,0
2009,381,2,36,"H3","06",1,,,11632,0
2009,381,1,36,"H3","06",1,,,173246,0
2009,381,2,36,"H3","0511",1,,6,43390,0
2009,381,1,36,"H3","051000",8,30558,30558,214540,0
2009,381,1,36,"H3","0510",8,30558,30558,214540,0
2009,381,2,36,"H3","0712",8,47076,47076,365751,0
2009,381,1,36,"H3","0508",8,103677,103677,923363,0
2009,381,2,36,"H3","071231",8,2594,2594,90188,0
2009,381,2,36,"H3","071239",8,1783,1783,95044,0
2009,381,2,36,"H3","071290",8,40589,40589,100708,0
2009,381,2,36,"H3","05",1,,,82033,0
2009,381,1,36,"H3","05",1,,,1633317,0
2009,381,2,36,"H3","040900",8,3617,3617,32357,0
2009,381,1,36,"H3","040900",8,61498,61498,211342,0
2009,381,1,36,"H3","0713",8,1532750,1532750,1063381,0
2009,381,2,36,"H3","0713",8,4464,4464,5161,0
2009,381,2,36,"H3","040690",8,2477416,2477416,22765378,0
2009,381,1,36,"H3","071310",8,24000,24000,12897,0
2009,381,2,36,"H3","040610",8,415973,415973,3674356,0
2009,381,2,36,"H3","0405",8,1380,1380,7413,0
2009,381,2,36,"H3","040490",8,20,20,1368,0
2009,381,2,36,"H3","0404",8,25020,25020,87478,0
2009,381,2,36,"H3","040299",8,2156,2156,13078,0
2009,381,2,36,"H3","040210",8,22030,22030,39248,0
2009,381,2,36,"H3","0402",8,24186,24186,52325,0
2009,381,1,36,"H3","030799",8,28960,28960,162387,0
2009,381,1,36,"H3","0307",8,28960,28960,162387,0
2009,381,2,36,"H3","030569",8,320,320,1115,0
2009,381,1,36,"H3","08",1,,,4473743,0
2009,381,2,36,"H3","08",1,,,9028129,0
2009,381,1,36,"H3","0802",8,333718,333718,1494204,0
2009,381,2,36,"H3","0304",8,838,838,9480,0
2009,381,1,36,"H3","0304",8,1045,1045,16536,0
2009,381,2,36,"H3","0802",8,35278,35278,197344,0
2009,381,1,36,"H3","080212",8,255314,255314,904117,0
2009,381,2,36,"H3","080212",8,1500,1500,9823,0
2009,381,2,36,"H3","0303",8,416,416,4694,0
2009,381,1,36,"H3","0303",8,45876,45876,738383,0
2009,381,1,36,"H3","030236",8,1608,1608,27225,0
2009,381,1,36,"H3","0302",8,236810,236810,2797299,0
2009,381,2,36,"H3","080221",8,24950,24950,148517,0
2009,381,2,36,"H3","080231",8,4100,4100,12160,0
2009,381,2,36,"H3","080240",8,4728,4728,26844,0
2009,381,2,36,"H3","021019",8,188943,188943,3093083,0
2009,381,1,36,"H3","021019",8,7365,7365,114791,0
2009,381,2,36,"H3","021011",8,5910,5910,107853,0
2009,381,2,36,"H3","0210",8,254853,254853,3309895,0
2009,381,1,36,"H3","0210",8,7365,7365,114791,0
2009,381,1,36,"H3","080260",8,10028,10028,82262,0
2009,381,1,36,"H3","0208",8,12401,12401,115961,0
2009,381,2,36,"H3","020727",8,3615,3615,38543,0
2009,381,2,36,"H3","0207",8,3615,3615,38543,0
2009,381,1,36,"H3","020442",8,13582,13582,185167,0
2009,381,1,36,"H3","0804",8,21972,21972,147586,0
2009,381,1,36,"H3","020329",8,31706,31706,199172,0
2009,381,1,36,"H3","0203",8,31706,31706,199172,0
2009,381,1,36,"H3","020230",8,995934,995934,5187432,0
2009,381,1,36,"H3","0202",8,995934,995934,5187432,0
2009,381,1,36,"H3","020130",8,617663,617663,5769454,0
2009,381,1,36,"H3","020120",8,2807,2807,38707,0
2009,381,1,36,"H3","0201",8,620470,620470,5808162,0
2009,381,2,36,"H3","02",1,,,3348437,0
2009,381,1,36,"H3","02",1,,,11696535,0
2009,381,2,36,"H3","0810",8,5201878,5201878,7258988,0
2009,381,2,36,"H3","081400",8,48000,48000,36784,0
2009,381,2,36,"H3","081090",8,240,240,3116,0
2009,381,2,36,"H3","090230",8,215,215,12220,0
2009,381,1,36,"H3","0805",8,617420,617420,553246,0
2009,381,1,36,"H3","080510",8,437920,437920,315004,0
2009,381,1,36,"H3","071021",8,48000,48000,89160,0
2009,381,1,36,"H3","080910",8,825,825,7700,0
2009,381,1,36,"H3","080920",8,10677,10677,155480,0
2009,381,2,36,"H3","0814",8,48000,48000,36784,0
2009,381,2,36,"H3","0901",8,3403569,3403569,35117933,0
2009,381,2,36,"H3","090112",8,55918,55918,471616,0
2009,381,2,36,"H3","090121",8,3109844,3109844,32389350,0
2009,381,2,36,"H3","090122",8,59539,59539,682493,0
