Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2007,381,2,36,"H3","071390",8,8160,8160,5735,0
2007,381,2,36,"H3","0203",8,6259,6259,111974,0
2007,381,1,36,"H3","0203",8,72317,72317,337399,0
2007,381,2,36,"H3","02",1,,,2272985,0
2007,381,1,36,"H3","02",1,,,1580854,0
2007,381,2,36,"H3","010619",1,,30,1371,0
2007,381,2,36,"H3","01",1,,,4114,0
2007,381,1,36,"H3","01",1,,,2041,0
2007,381,2,36,"H3","070200",8,7738,7738,6311,0
2007,381,2,36,"H3","0802",8,4600,4600,25316,0
2007,381,2,36,"H3","0702",8,7738,7738,6311,0
2007,381,2,36,"H3","080240",8,4600,4600,25316,0
2007,381,1,36,"H3","080260",8,48560,48560,321519,0
2007,381,1,36,"H3","080290",8,82870,82870,817973,0
2007,381,2,36,"H3","051199",8,17002,17002,62039,0
2007,381,1,36,"H3","08",1,,,4282952,0
2007,381,1,36,"H3","0703",8,3171900,3171900,2332041,0
2007,381,2,36,"H3","0703",8,180,180,1053,0
2007,381,2,36,"H3","0708",8,35606,35606,23962,0
2007,381,2,36,"H3","08",1,,,6802938,0
2007,381,1,36,"H3","0802",8,528722,528722,3073906,0
2007,381,1,36,"H3","080620",8,269360,269360,603205,0
2007,381,2,36,"H3","071340",8,19766,19766,15668,0
2007,381,1,36,"H3","071350",8,195255,195255,123063,0
2007,381,1,36,"H3","100700",8,18000,18000,47120,0
2007,381,1,36,"H3","1008",8,21500,21500,13938,0
2007,381,1,36,"H3","1007",8,18000,18000,47120,0
2007,381,2,36,"H3","0910",8,9003,9003,73999,0
2007,381,2,36,"H3","091099",8,8540,8540,65891,0
2007,381,1,36,"H3","11",1,,,16989,0
2007,381,2,36,"H3","11",1,,,569102,0
2007,381,2,36,"H3","1101",8,338690,338690,171791,0
2007,381,2,36,"H3","090112",8,14480,14480,144911,0
2007,381,1,36,"H3","070310",8,3171900,3171900,2332041,0
2007,381,2,36,"H3","070390",8,180,180,1053,0
2007,381,2,36,"H3","070820",8,35606,35606,23962,0
2007,381,1,36,"H3","0806",8,269360,269360,603205,0
2007,381,1,36,"H3","0709",8,2,2,1571,0
2007,381,2,36,"H3","0709",8,5101,5101,173866,0
2007,381,2,36,"H3","070990",8,1707,1707,9154,0
2007,381,2,36,"H3","0710",8,61156,61156,183839,0
2007,381,2,36,"H3","0901",8,3583849,3583849,36129680,0
2007,381,2,36,"H3","071021",8,37612,37612,28146,0
2007,381,2,36,"H3","071120",8,23032,23032,164996,0
2007,381,2,36,"H3","0712",8,119957,119957,481153,0
2007,381,2,36,"H3","071239",8,1142,1142,63944,0
2007,381,2,36,"H3","071290",8,113526,113526,155814,0
2007,381,2,36,"H3","0904",8,39770,39770,343628,0
2007,381,2,36,"H3","090411",8,7200,7200,48734,0
2007,381,2,36,"H3","090412",8,984,984,1441,0
2007,381,2,36,"H3","090420",8,31586,31586,293453,0
2007,381,2,36,"H3","0909",8,164,164,6917,0
2007,381,2,36,"H3","090940",8,164,164,6917,0
