Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2005,381,2,36,"H2","070951",8,2610,2610,30060,0
2005,381,1,36,"H2","0705",8,60,60,1786,0
2005,381,1,36,"H2","070310",8,2963060,2963060,1019018,0
2005,381,1,36,"H2","0703",8,2963060,2963060,1019018,0
2005,381,2,36,"H2","040299",8,5001,5001,16140,0
2005,381,1,36,"H2","030379",8,31818,31818,159354,0
2005,381,2,36,"H2","070952",8,175,175,97547,0
2005,381,2,36,"H2","0709",8,9584,9584,151063,0
2005,381,1,36,"H2","0709",8,112459,112459,85825,0
2005,381,2,36,"H2","070820",8,20160,20160,10035,0
2005,381,2,36,"H2","0708",8,20160,20160,10035,0
2005,381,1,36,"H2","070519",8,60,60,1786,0
2005,381,1,36,"H2","060499",8,6500,6500,28379,0
2005,381,1,36,"H2","060491",8,410,410,5689,0
2005,381,1,36,"H2","0604",8,6910,6910,34068,0
2005,381,1,36,"H2","060310",8,898,898,7582,0
2005,381,1,36,"H2","060290",8,206045,206045,338277,0
2005,381,1,36,"H2","060220",1,,6,2547,0
2005,381,1,36,"H2","0602",1,,206051,340824,0
2005,381,1,36,"H2","06",1,,,558155,0
2005,381,2,36,"H2","0511",1,,414,123218,0
2005,381,1,36,"H2","0511",1,,120,7839,0
2005,381,1,36,"H2","051000",8,167690,167690,2228118,0
2005,381,1,36,"H2","0510",8,167690,167690,2228118,0
2005,381,1,36,"H2","050800",8,131260,131260,1302733,0
2005,381,1,36,"H2","050400",8,21430,21430,164188,0
2005,381,2,36,"H2","050290",8,5,5,648,0
2005,381,2,36,"H2","050100",8,319,319,347446,0
2005,381,2,36,"H2","05",1,,,471312,0
2005,381,1,36,"H2","05",1,,,3702878,0
2005,381,2,36,"H2","040590",8,113,113,1486,0
2005,381,2,36,"H2","040510",8,1086,1086,15380,0
2005,381,2,36,"H2","0405",8,1199,1199,16866,0
2005,381,2,36,"H2","0402",8,5001,5001,16140,0
2005,381,1,36,"H2","030791",8,30,30,3629,0
2005,381,1,36,"H2","030749",8,18600,18600,47855,0
2005,381,1,36,"H2","030710",8,56,56,1518,0
2005,381,1,36,"H2","0307",8,33446,33446,105343,0
2005,381,1,36,"H2","030613",8,284189,284189,4721040,0
2005,381,2,36,"H2","0305",8,110644,110644,633442,0
2005,381,1,36,"H2","0305",8,86,86,11226,0
2005,381,1,36,"H2","0303",8,31818,31818,159354,0
2005,381,1,36,"H2","030236",8,292,292,4069,0
2005,381,1,36,"H2","020890",8,171687,171687,824730,0
2005,381,1,36,"H2","0204",8,3305,3305,56319,0
2005,381,2,36,"H2","0203",8,302,302,7891,0
2005,381,2,36,"H2","02",1,,,7891,0
2005,381,1,36,"H2","02",1,,,935517,0
2005,381,1,36,"H2","010190",5,2,1000,12236,0
2005,381,1,36,"H2","0101",5,2,1000,12236,0
2005,381,1,36,"H2","01",1,,,12236,0
2005,381,2,36,"H2","07",1,,,1024060,0
2005,381,1,36,"H2","07",1,,,2121272,0
2005,381,2,36,"H2","0501",8,319,319,347446,0
2005,381,2,36,"H2","03",1,,,633442,0
2005,381,1,36,"H2","03",1,,,6303334,0
2005,381,2,36,"H2","020312",8,302,302,7891,0
2005,381,2,36,"H2","070970",8,6550,6550,5770,0
2005,381,2,36,"H2","051191",8,400,400,9110,0
2005,381,1,36,"H2","0504",8,21430,21430,164188,0
2005,381,2,36,"H2","040640",8,48090,48090,376553,0
2005,381,2,36,"H2","040630",8,3039,3039,17955,0
2005,381,2,36,"H2","040620",8,16200,16200,129963,0
2005,381,2,36,"H2","04",1,,,18093075,0
2005,381,1,36,"H2","04",1,,,305907,0
2005,381,1,36,"H2","030799",8,14760,14760,52341,0
2005,381,1,36,"H2","030621",8,6805,6805,248620,0
2005,381,1,36,"H2","0306",8,292225,292225,4981524,0
2005,381,2,36,"H2","030510",8,1472,1472,13799,0
