Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2003,381,2,36,"H2","070951",8,1274,1274,13810,0
2003,381,2,36,"H2","070930",8,17150,17150,30626,0
2003,381,2,36,"H2","0709",8,20493,20493,635840,0
2003,381,1,36,"H2","0507",8,5200,5200,27619,0
2003,381,1,36,"H2","050400",8,56439,56439,683104,0
2003,381,2,36,"H2","050100",8,62,62,76100,0
2003,381,2,36,"H2","0501",8,62,62,76100,0
2003,381,2,36,"H2","0206",8,350,350,791,0
2003,381,1,36,"H2","020442",8,51919,51919,220189,0
2003,381,1,36,"H2","020422",8,7558,7558,135051,0
2003,381,1,36,"H2","020329",8,22480,22480,59738,0
2003,381,1,36,"H2","0203",8,22480,22480,59738,0
2003,381,2,36,"H2","020230",8,3076,3076,9101,0
2003,381,2,36,"H2","020220",8,101,101,15739,0
2003,381,2,36,"H2","0202",8,3177,3177,24840,0
2003,381,2,36,"H2","02",1,,,25631,0
2003,381,1,36,"H2","02",1,,,544541,0
2003,381,2,36,"H2","070952",8,1089,1089,580416,0
2003,381,2,36,"H2","070310",8,1050,1050,3185,0
2003,381,1,36,"H2","070310",8,3012100,3012100,1442306,0
2003,381,1,36,"H2","060499",8,10400,10400,49734,0
2003,381,1,36,"H2","0604",8,12742,12742,63406,0
2003,381,1,36,"H2","060390",8,18982,18982,118987,0
2003,381,2,36,"H2","060290",8,1009,1009,11949,0
2003,381,1,36,"H2","060290",8,63465,63465,145421,0
2003,381,1,36,"H2","060220",5,39975,28000,37774,2
2003,381,2,36,"H2","051110",1,,22,218161,0
2003,381,1,36,"H2","051110",1,,2,17298,0
2003,381,2,36,"H2","0511",1,,101,225505,0
2003,381,1,36,"H2","0511",1,,196,40851,0
2003,381,1,36,"H2","050790",8,5200,5200,27619,0
2003,381,1,36,"H2","0504",8,56439,56439,683104,0
2003,381,2,36,"H2","05",1,,,301605,0
2003,381,1,36,"H2","05",1,,,2221335,0
2003,381,2,36,"H2","040640",8,23737,23737,158718,0
2003,381,2,36,"H2","040630",8,1500,1500,1561,0
2003,381,2,36,"H2","040610",8,54764,54764,311978,0
2003,381,2,36,"H2","0406",8,1699746,1699746,12123981,0
