Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2006,381,2,36,"H2","070820",8,184946,184946,123477,0
2006,381,2,36,"H2","070529",8,30000,30000,128241,0
2006,381,1,36,"H2","060390",8,14410,14410,94690,0
2006,381,1,36,"H2","060290",8,201552,201552,398878,0
2006,381,1,36,"H2","0602",1,,202157,494580,0
2006,381,1,36,"H2","051191",8,200,200,12556,0
2006,381,1,36,"H2","0510",8,102783,102783,1394625,0
2006,381,1,36,"H2","050800",8,189397,189397,1788499,0
2006,381,1,36,"H2","0508",8,189397,189397,1788499,0
2006,381,1,36,"H2","050400",8,36481,36481,308718,0
2006,381,1,36,"H2","0504",8,36481,36481,308718,0
2006,381,2,36,"H2","050100",8,290,290,455944,0
2006,381,2,36,"H2","05",1,,,548518,0
2006,381,1,36,"H2","05",1,,,3514894,0
2006,381,1,36,"H2","0410",8,8000,8000,245539,0
2006,381,2,36,"H2","040900",8,8721,8721,28940,0
2006,381,1,36,"H2","040900",8,81600,81600,143778,0
2006,381,2,36,"H2","0409",8,8721,8721,28940,0
2006,381,1,36,"H2","0409",8,81600,81600,143778,0
2006,381,2,36,"H2","040690",8,2067178,2067178,16551078,0
2006,381,2,36,"H2","040640",8,213099,213099,1673287,0
2006,381,2,36,"H2","040620",8,24002,24002,184667,0
2006,381,2,36,"H2","0406",8,2520428,2520428,20019798,0
2006,381,2,36,"H2","040590",8,17,17,1971,0
2006,381,2,36,"H2","040510",8,1581,1581,11789,0
2006,381,2,36,"H2","0405",8,1598,1598,13761,0
2006,381,2,36,"H2","0402",8,125,125,741,0
2006,381,2,36,"H2","0401",8,1596,1596,3806,0
2006,381,2,36,"H2","030759",8,8300,8300,43726,0
2006,381,2,36,"H2","030563",8,35319,35319,341552,0
2006,381,2,36,"H2","030520",8,9,9,1171,0
2006,381,2,36,"H2","030510",8,14,14,793,0
2006,381,2,36,"H2","0305",8,35954,35954,345183,0
2006,381,2,36,"H2","030410",8,405,405,8314,0
2006,381,2,36,"H2","0304",8,405,405,8314,0
2006,381,1,36,"H2","030339",8,10660,10660,61842,0
2006,381,1,36,"H2","030110",8,2,2,16985,0
2006,381,1,36,"H2","0301",8,2,2,16985,0
2006,381,1,36,"H2","0208",8,173636,173636,829899,0
2006,381,1,36,"H2","020422",8,6171,6171,132241,0
2006,381,1,36,"H2","020329",8,45536,45536,241471,0
2006,381,2,36,"H2","020319",8,20,20,3650,0
2006,381,2,36,"H2","0203",8,20,20,3650,0
2006,381,1,36,"H2","0203",8,80424,80424,412461,0
2006,381,1,36,"H2","0201",8,32545,32545,170153,0
2006,381,2,36,"H2","010690",1,,87,2438,0
2006,381,1,36,"H2","010690",1,,6,1617,0
2006,381,1,36,"H2","0604",8,3860,3860,25031,0
2006,381,2,36,"H2","040130",8,1596,1596,3806,0
2006,381,2,36,"H2","07",1,,,1679237,0
2006,381,1,36,"H2","07",1,,,3541795,0
2006,381,1,36,"H2","0603",8,14621,14621,96892,0
2006,381,1,36,"H2","030622",8,100,100,4687,0
2006,381,1,36,"H2","030621",8,3184,3184,124096,0
2006,381,1,36,"H2","020130",8,32545,32545,170153,0
2006,381,2,36,"H2","0709",8,23830,23830,248247,0
2006,381,2,36,"H2","0708",8,184946,184946,123477,0
2006,381,2,36,"H2","070951",8,700,700,7848,0
